sku,n_records,total_actual,forecastable,abc_class,cv,wape,bias,mase,hit_rate_20,mae,rmse
SKU_0000,7250,68017,True,B,0.54,119.77,117.44,2.558,6.6,11.24,13.06
SKU_0001,7250,67138,True,C,0.53,121.06,118.88,2.565,6.7,11.21,13.01
SKU_0002,7250,67092,True,B,0.53,121.26,118.95,2.639,6.1,11.22,12.96
SKU_0003,7250,66727,True,C,0.53,123.02,120.67,2.622,6.5,11.32,13.1
SKU_0004,7250,66731,True,B,0.54,122.3,120.32,2.6,6.0,11.26,13.01
SKU_0005,7250,67483,True,B,0.54,120.43,118.15,2.589,6.1,11.21,13.0
SKU_0006,7250,67145,True,B,0.54,122.01,119.6,2.531,6.1,11.3,13.09
SKU_0007,7250,417837,True,A,0.43,65.14,-64.81,2.072,2.7,37.54,48.05
SKU_0008,7250,420614,True,A,0.44,65.3,-64.99,2.073,2.6,37.88,48.88
SKU_0009,7250,67045,True,B,0.54,122.31,119.78,2.587,6.3,11.31,13.06
SKU_0010,7250,423223,True,A,0.44,65.49,-65.18,2.091,2.8,38.23,49.42
SKU_0011,7250,169028,True,A,0.47,34.96,-12.4,0.927,37.7,8.15,12.64
SKU_0012,7250,168051,True,A,0.47,34.81,-12.37,0.946,37.6,8.07,12.36
SKU_0013,7250,168540,True,A,0.47,35.2,-12.89,0.939,36.9,8.18,12.58
SKU_0014,7250,66686,True,B,0.53,122.93,120.55,2.598,6.5,11.31,13.13
SKU_0015,7250,66326,True,B,0.53,123.3,121.19,2.61,5.7,11.28,13.06
SKU_0016,7250,420725,True,A,0.44,65.42,-65.08,2.038,3.1,37.96,49.42
SKU_0017,7250,66804,True,C,0.54,123.26,120.9,2.555,5.9,11.36,13.09
SKU_0018,7250,66736,True,C,0.54,122.73,120.32,2.594,6.2,11.3,13.08
SKU_0019,7250,420383,True,A,0.44,65.31,-64.98,2.078,2.6,37.87,48.53
SKU_0020,7250,66542,True,B,0.53,122.92,120.62,2.551,6.4,11.28,13.07
SKU_0021,7250,167591,True,A,0.47,34.8,-12.19,0.949,37.4,8.04,12.18
SKU_0022,7250,168710,True,A,0.47,34.85,-12.95,0.953,38.3,8.11,12.33
SKU_0023,7250,67212,True,C,0.54,121.45,119.42,2.612,6.3,11.26,13.02
SKU_0024,7250,167676,True,B,0.47,34.8,-12.51,0.937,36.7,8.05,12.17
SKU_0025,7250,67189,True,B,0.54,121.3,118.96,2.583,6.3,11.24,13.03
SKU_0026,7250,66824,True,C,0.53,122.03,119.88,2.571,6.2,11.25,13.02
SKU_0027,7250,423340,True,A,0.44,65.44,-65.11,2.07,2.5,38.21,49.6
SKU_0028,7250,67021,True,B,0.54,122.11,119.79,2.583,6.0,11.29,13.08
SKU_0029,7250,66999,True,C,0.53,121.83,119.73,2.555,6.6,11.26,13.05
SKU_0030,7250,422192,True,A,0.45,65.43,-65.14,2.054,2.8,38.1,49.6
SKU_0031,7250,67035,True,B,0.53,121.67,119.18,2.569,6.1,11.25,13.02
SKU_0032,7250,67378,True,B,0.53,120.88,118.64,2.576,6.6,11.23,13.05
SKU_0033,7250,66509,True,C,0.53,122.4,120.32,2.622,6.1,11.23,12.97
SKU_0034,7250,66725,True,C,0.54,122.83,120.56,2.604,6.2,11.31,13.12
SKU_0035,7250,168001,True,A,0.47,34.91,-12.52,0.939,38.0,8.09,12.34
SKU_0036,7250,67216,True,B,0.54,122.04,119.89,2.547,6.2,11.31,13.1
SKU_0037,7250,67459,True,B,0.53,120.54,118.13,2.572,6.4,11.22,13.0
SKU_0038,7250,66810,True,B,0.54,122.05,120.11,2.597,5.9,11.25,13.03
SKU_0039,7250,67210,True,B,0.53,121.72,119.55,2.589,6.0,11.28,13.05
SKU_0040,7250,67300,True,B,0.54,120.65,118.29,2.603,5.9,11.2,12.92
SKU_0041,7250,168607,True,A,0.47,35.01,-12.71,0.945,37.6,8.14,12.52
SKU_0042,7250,67159,True,C,0.53,121.77,119.43,2.54,6.2,11.28,13.07
SKU_0043,7250,66485,True,C,0.53,123.64,121.78,2.648,6.0,11.34,13.1
SKU_0044,7250,66954,True,C,0.53,121.65,119.38,2.619,6.2,11.23,12.99
SKU_0045,7250,66829,True,B,0.53,122.46,120.31,2.639,5.8,11.29,13.06
SKU_0046,7250,167265,True,B,0.47,34.91,-12.19,0.933,37.5,8.05,12.24
SKU_0047,7250,423241,True,A,0.44,65.39,-65.09,2.045,3.0,38.18,49.53
SKU_0048,7250,420851,True,A,0.44,65.34,-65.01,2.056,2.6,37.93,48.97
SKU_0049,7250,167125,True,A,0.47,35.0,-11.91,0.943,38.1,8.07,12.47
SKU_0050,7250,66950,True,B,0.53,121.83,119.67,2.541,6.4,11.25,13.03
SKU_0051,7250,67208,True,C,0.54,121.49,118.89,2.5,6.1,11.26,13.01
SKU_0052,7250,66951,True,B,0.53,122.68,120.38,2.623,5.8,11.33,13.07
SKU_0053,7250,167933,True,A,0.47,34.71,-12.38,0.941,37.8,8.04,12.28
SKU_0054,7250,67222,True,B,0.53,121.3,119.14,2.601,6.2,11.25,13.0
SKU_0055,7250,169302,True,A,0.48,34.7,-12.88,0.924,37.7,8.1,12.43
SKU_0056,7250,168721,True,A,0.47,34.74,-12.61,0.956,37.8,8.08,12.3
SKU_0057,7250,67796,True,B,0.54,119.65,117.37,2.507,6.4,11.19,12.97
SKU_0058,7250,66829,True,B,0.54,122.25,120.17,2.584,6.5,11.27,13.07
SKU_0059,7250,169458,True,A,0.47,34.95,-12.82,0.934,37.1,8.17,12.63
SKU_0060,7250,420686,True,A,0.44,65.32,-65.03,2.104,2.9,37.9,48.96
SKU_0061,7250,421788,True,A,0.44,65.45,-65.11,2.056,2.8,38.08,49.43
SKU_0062,7250,422573,True,A,0.44,65.37,-65.06,2.077,2.7,38.1,49.19
SKU_0063,7250,67090,True,B,0.54,121.44,118.97,2.544,6.4,11.24,13.02
SKU_0064,7250,168969,True,A,0.47,34.99,-12.79,0.944,37.9,8.16,12.57
SKU_0065,7250,67014,True,B,0.54,122.12,119.8,2.568,6.3,11.29,13.07
SKU_0066,7250,168394,True,B,0.47,34.51,-12.56,0.929,37.9,8.02,12.39
SKU_0067,7250,423750,True,A,0.44,65.44,-65.18,2.05,3.0,38.25,49.74
SKU_0068,7250,167982,True,A,0.46,34.66,-12.49,0.941,38.3,8.03,12.25
SKU_0069,7250,168352,True,A,0.47,34.36,-12.54,0.945,38.9,7.98,12.29
SKU_0070,7250,167683,True,B,0.47,34.7,-12.35,0.93,37.3,8.02,12.19
SKU_0071,7250,168760,True,B,0.47,34.69,-12.68,0.929,38.3,8.07,12.52
SKU_0072,7250,67300,True,C,0.54,120.78,118.46,2.57,6.7,11.21,13.0
SKU_0073,7250,421918,True,A,0.44,65.39,-65.05,2.07,2.8,38.05,48.92
SKU_0074,7250,67763,True,B,0.54,119.68,117.16,2.521,6.6,11.19,12.99
SKU_0075,7250,168622,True,A,0.47,35.05,-13.0,0.95,36.7,8.15,12.54
SKU_0076,7250,66878,True,B,0.53,121.79,119.76,2.587,6.1,11.23,13.01
SKU_0077,7250,66803,True,B,0.54,122.2,120.1,2.593,6.1,11.26,13.02
SKU_0078,7250,67149,True,B,0.54,122.32,119.84,2.58,6.3,11.33,13.13
SKU_0079,7250,66571,True,C,0.54,122.42,119.93,2.588,6.3,11.24,13.02
SKU_0080,7250,66595,True,B,0.53,123.46,121.02,2.571,6.4,11.34,13.11
SKU_0081,7250,67279,True,C,0.53,121.42,119.26,2.548,6.8,11.27,13.07
SKU_0082,7250,66843,True,C,0.54,122.09,119.51,2.6,6.0,11.26,13.05
SKU_0083,7250,67296,True,B,0.53,121.01,118.57,2.575,6.2,11.23,13.0
SKU_0084,7250,420883,True,A,0.44,65.22,-64.96,2.01,2.6,37.86,48.84
SKU_0085,7250,170305,True,A,0.48,35.23,-13.44,0.958,37.7,8.28,12.85
SKU_0086,7250,67599,True,B,0.53,120.03,117.64,2.558,6.2,11.19,12.98
SKU_0087,7250,67248,True,B,0.54,121.63,119.23,2.596,6.3,11.28,13.07
SKU_0088,7250,66979,True,C,0.54,122.68,120.16,2.553,6.1,11.33,13.12
SKU_0089,7250,67435,True,B,0.53,120.82,118.5,2.559,6.5,11.24,13.04
SKU_0090,7250,67467,True,B,0.54,120.9,118.54,2.582,6.1,11.25,13.02
SKU_0091,7250,167860,True,B,0.46,35.06,-12.46,0.95,37.2,8.12,12.32
SKU_0092,7250,168114,True,B,0.47,35.15,-12.38,0.942,36.8,8.15,12.4
SKU_0093,7250,167865,True,A,0.47,35.09,-12.25,0.92,37.3,8.13,12.47
SKU_0094,7250,167506,True,B,0.47,35.13,-12.38,0.937,36.0,8.12,12.32
SKU_0095,7250,67004,True,C,0.54,121.81,119.52,2.601,6.3,11.26,13.04
SKU_0096,7250,169030,True,A,0.47,34.62,-12.81,0.925,37.4,8.07,12.31
SKU_0097,7250,66089,True,C,0.53,123.93,121.8,2.616,6.0,11.3,13.04
SKU_0098,7250,168584,True,A,0.47,35.07,-12.8,0.936,37.3,8.16,12.49
SKU_0099,7250,66759,True,C,0.54,122.51,120.26,2.598,6.0,11.28,13.03
SKU_0100,7250,67380,True,C,0.53,120.68,118.26,2.567,6.4,11.22,12.99
SKU_0101,7250,168474,True,A,0.47,35.3,-12.69,0.942,37.2,8.2,12.54
SKU_0102,7250,66563,True,C,0.53,122.83,120.72,2.592,6.0,11.28,13.03
SKU_0103,7250,170051,True,A,0.47,34.92,-13.22,0.926,38.1,8.19,12.71
SKU_0104,7250,421862,True,A,0.44,65.37,-65.06,2.05,2.9,38.03,49.15
SKU_0105,7250,167532,True,A,0.47,34.72,-12.29,0.933,38.2,8.02,12.49
SKU_0106,7250,420373,True,A,0.44,65.3,-65.01,2.121,2.7,37.86,48.63
SKU_0107,7250,168224,True,A,0.47,34.96,-12.58,0.946,37.7,8.11,12.38
SKU_0108,7250,67387,True,B,0.54,120.56,118.47,2.568,6.3,11.21,12.96
