store_id,n_records,total_actual,forecastable,cv,wape,bias,mase,hit_rate_20,mae,rmse
STORE_000,29000,641787,True,1.0,68.32,-8.35,0.772,14.6,15.12,24.0
STORE_001,29000,642024,True,0.99,68.18,-8.23,0.758,15.0,15.09,23.7
STORE_002,29000,642375,True,0.99,68.07,-8.21,0.749,14.9,15.08,23.46
STORE_003,29000,644112,True,0.99,68.21,-8.73,0.741,14.8,15.15,23.92
STORE_004,29000,641693,True,1.0,68.4,-8.28,0.769,14.8,15.13,23.75
STORE_005,29000,643453,True,0.99,68.46,-8.5,0.756,14.9,15.19,24.03
STORE_006,29000,640629,True,0.99,68.21,-8.23,0.76,14.8,15.07,23.59
STORE_007,29000,645780,True,1.0,68.22,-8.91,0.766,14.9,15.19,24.16
STORE_008,29000,643475,True,1.0,68.32,-8.55,0.748,15.1,15.16,23.98
STORE_009,29000,642084,True,1.0,68.7,-8.27,0.752,14.5,15.21,23.97
STORE_010,29000,642517,True,0.99,68.32,-8.42,0.744,15.1,15.14,23.77
STORE_011,29000,642759,True,0.99,67.97,-8.43,0.764,15.1,15.07,23.58
STORE_012,29000,642901,True,1.0,68.12,-8.47,0.766,15.3,15.1,23.75
STORE_013,29000,642623,True,0.99,68.36,-8.29,0.762,14.7,15.15,23.86
STORE_014,29000,642910,True,1.0,68.4,-8.5,0.744,14.8,15.16,24.01
STORE_015,29000,643001,True,0.99,68.17,-8.43,0.76,15.0,15.12,23.72
STORE_016,29000,643240,True,0.99,68.39,-8.46,0.773,14.8,15.17,23.93
STORE_017,29000,642700,True,1.0,68.4,-8.52,0.764,15.1,15.16,23.83
STORE_018,29000,642483,True,1.0,68.4,-8.31,0.752,14.9,15.15,24.05
STORE_019,29000,640570,True,0.99,68.58,-8.02,0.752,14.9,15.15,23.86
STORE_020,29000,642280,True,1.0,68.38,-8.15,0.768,14.7,15.14,23.9
STORE_021,29000,643280,True,0.99,68.24,-8.47,0.758,15.0,15.14,23.7
STORE_022,29000,643668,True,0.99,68.15,-8.63,0.776,14.9,15.13,23.86
STORE_023,29000,642753,True,0.99,68.37,-8.33,0.744,15.0,15.15,23.81
STORE_024,29000,643802,True,1.0,68.48,-8.59,0.766,14.8,15.2,23.92
STORE_025,29000,642447,True,0.99,68.16,-8.34,0.761,14.7,15.1,23.55
STORE_026,29000,640253,True,0.99,68.26,-8.12,0.767,14.9,15.07,23.69
STORE_027,29000,642427,True,1.0,68.47,-8.32,0.767,14.8,15.17,23.81
STORE_028,29000,642602,True,1.0,68.44,-8.43,0.75,14.8,15.17,23.9
STORE_029,29000,640462,True,1.0,68.39,-8.14,0.767,14.9,15.1,23.71
STORE_030,29000,641847,True,0.99,68.16,-8.23,0.758,14.9,15.09,23.65
STORE_031,29000,639306,True,1.0,68.5,-8.04,0.771,14.9,15.1,24.02
STORE_032,29000,643665,True,1.0,68.13,-8.67,0.786,15.3,15.12,23.98
STORE_033,29000,644511,True,0.99,68.27,-8.58,0.778,14.9,15.17,23.97
STORE_034,29000,644409,True,0.99,67.92,-8.36,0.743,15.1,15.09,23.74
STORE_035,29000,641284,True,1.0,68.01,-8.27,0.735,15.1,15.04,23.85
STORE_036,29000,642802,True,0.99,67.92,-8.37,0.775,15.4,15.06,23.65
STORE_037,29000,644435,True,1.0,68.37,-8.52,0.778,14.9,15.19,23.99
STORE_038,29000,642208,True,1.0,68.24,-8.26,0.748,14.9,15.11,23.78
STORE_039,29000,644269,True,1.0,68.31,-8.45,0.804,14.9,15.18,24.14
STORE_040,29000,640392,True,0.99,68.55,-8.0,0.765,14.8,15.14,23.64
STORE_041,29000,642524,True,0.99,68.29,-8.4,0.75,14.6,15.13,23.63
STORE_042,29000,646852,True,1.0,68.22,-8.82,0.732,15.3,15.22,24.04
STORE_043,29000,640249,True,0.99,68.14,-8.19,0.784,15.1,15.04,23.56
STORE_044,29000,644152,True,0.99,68.23,-8.61,0.745,15.1,15.15,23.78
STORE_045,29000,642973,True,0.99,68.11,-8.51,0.761,15.0,15.1,23.77
STORE_046,29000,641051,True,1.0,68.36,-8.17,0.752,15.0,15.11,23.8
STORE_047,29000,643297,True,0.99,68.24,-8.49,0.753,15.0,15.14,23.75
STORE_048,29000,641175,True,0.99,68.37,-8.02,0.761,14.8,15.12,23.81
STORE_049,29000,642191,True,1.0,68.04,-8.52,0.742,14.8,15.07,23.87
