sku,n_records,total_actual,forecastable,abc_class,cv,wape,bias,mase,hit_rate_20,mae,rmse
SKU_0000,7250,68017,True,B,0.54,119.82,117.48,2.559,6.4,11.24,13.07
SKU_0001,7250,67138,True,C,0.53,121.08,118.9,2.566,6.5,11.21,13.01
SKU_0002,7250,67092,True,B,0.53,121.28,118.99,2.639,6.0,11.22,12.96
SKU_0003,7250,66727,True,C,0.53,123.09,120.74,2.623,6.4,11.33,13.11
SKU_0004,7250,66731,True,B,0.54,122.34,120.36,2.6,5.9,11.26,13.02
SKU_0005,7250,67483,True,B,0.54,120.5,118.23,2.591,5.8,11.22,13.01
SKU_0006,7250,67145,True,B,0.54,122.07,119.67,2.533,6.0,11.31,13.1
SKU_0007,7250,417837,True,A,0.43,65.14,-64.8,2.071,2.6,37.54,48.04
SKU_0008,7250,420614,True,A,0.44,65.29,-64.98,2.072,2.6,37.88,48.87
SKU_0009,7250,67045,True,B,0.54,122.28,119.76,2.587,6.1,11.31,13.06
SKU_0010,7250,423223,True,A,0.44,65.47,-65.15,2.09,2.8,38.22,49.41
SKU_0011,7250,169028,True,A,0.47,34.96,-12.39,0.927,37.4,8.15,12.64
SKU_0012,7250,168051,True,A,0.47,34.81,-12.35,0.946,37.4,8.07,12.36
SKU_0013,7250,168540,True,A,0.47,35.22,-12.9,0.94,36.3,8.19,12.58
SKU_0014,7250,66686,True,B,0.53,122.92,120.54,2.598,6.3,11.31,13.13
SKU_0015,7250,66326,True,B,0.53,123.33,121.22,2.611,5.6,11.28,13.07
SKU_0016,7250,420725,True,A,0.44,65.4,-65.06,2.038,3.1,37.95,49.41
SKU_0017,7250,66804,True,C,0.54,123.24,120.89,2.555,5.7,11.36,13.08
SKU_0018,7250,66736,True,C,0.54,122.83,120.42,2.596,6.1,11.31,13.1
SKU_0019,7250,420383,True,A,0.44,65.31,-64.97,2.078,2.6,37.87,48.53
SKU_0020,7250,66542,True,B,0.53,122.94,120.63,2.552,6.3,11.28,13.07
SKU_0021,7250,167591,True,A,0.47,34.8,-12.18,0.949,37.0,8.04,12.18
