store_id,n_records,total_actual,forecastable,cv,wape,bias,mase,hit_rate_20,mae,rmse
STORE_000,29000,641787,True,1.0,68.33,-8.33,0.772,14.4,15.12,23.99
STORE_001,29000,642024,True,0.99,68.18,-8.24,0.758,14.8,15.09,23.7
STORE_002,29000,642375,True,0.99,68.08,-8.2,0.749,14.7,15.08,23.46
STORE_003,29000,644112,True,0.99,68.22,-8.73,0.741,14.6,15.15,23.92
STORE_004,29000,641693,True,1.0,68.4,-8.25,0.769,14.6,15.14,23.75
STORE_005,29000,643453,True,0.99,68.46,-8.49,0.756,14.6,15.19,24.04
STORE_006,29000,640629,True,0.99,68.22,-8.2,0.76,14.6,15.07,23.59
STORE_007,29000,645780,True,1.0,68.22,-8.9,0.766,14.6,15.19,24.16
STORE_008,29000,643475,True,1.0,68.33,-8.54,0.748,14.9,15.16,23.98
STORE_009,29000,642084,True,1.0,68.71,-8.26,0.752,14.4,15.21,23.98
STORE_010,29000,642517,True,0.99,68.31,-8.41,0.744,14.9,15.14,23.76
STORE_011,29000,642759,True,0.99,67.98,-8.4,0.764,14.9,15.07,23.58
STORE_012,29000,642901,True,1.0,68.13,-8.45,0.766,15.0,15.1,23.74
STORE_013,29000,642623,True,0.99,68.38,-8.28,0.762,14.5,15.15,23.86
STORE_014,29000,642910,True,1.0,68.39,-8.5,0.744,14.6,15.16,24.0
STORE_015,29000,643001,True,0.99,68.19,-8.4,0.76,14.8,15.12,23.72
STORE_016,29000,643240,True,0.99,68.39,-8.45,0.773,14.6,15.17,23.93
STORE_017,29000,642700,True,1.0,68.39,-8.5,0.763,14.8,15.16,23.83
STORE_018,29000,642483,True,1.0,68.41,-8.29,0.752,14.8,15.15,24.05
STORE_019,29000,640570,True,0.99,68.59,-8.0,0.752,14.6,15.15,23.86
STORE_020,29000,642280,True,1.0,68.39,-8.15,0.768,14.6,15.15,23.9
STORE_021,29000,643280,True,0.99,68.25,-8.45,0.758,14.9,15.14,23.7
STORE_022,29000,643668,True,0.99,68.16,-8.62,0.776,14.7,15.13,23.86
STORE_023,29000,642753,True,0.99,68.39,-8.32,0.744,14.8,15.16,23.81
STORE_024,29000,643802,True,1.0,68.49,-8.58,0.767,14.6,15.21,23.92
STORE_025,29000,642447,True,0.99,68.16,-8.33,0.761,14.6,15.1,23.55
STORE_026,29000,640253,True,0.99,68.26,-8.1,0.767,14.8,15.07,23.69
STORE_027,29000,642427,True,1.0,68.48,-8.31,0.767,14.6,15.17,23.81
STORE_028,29000,642602,True,1.0,68.43,-8.42,0.75,14.5,15.16,23.9
STORE_029,29000,640462,True,1.0,68.4,-8.12,0.767,14.8,15.11,23.71
STORE_030,29000,641847,True,0.99,68.15,-8.2,0.758,14.7,15.08,23.65
STORE_031,29000,639306,True,1.0,68.52,-8.03,0.771,14.7,15.1,24.03
STORE_032,29000,643665,True,1.0,68.13,-8.65,0.786,15.0,15.12,23.98
STORE_033,29000,644511,True,0.99,68.27,-8.57,0.778,14.7,15.17,23.96
STORE_034,29000,644409,True,0.99,67.92,-8.35,0.743,15.1,15.09,23.74
STORE_035,29000,641284,True,1.0,68.02,-8.25,0.735,14.9,15.04,23.85
STORE_036,29000,642802,True,0.99,67.92,-8.36,0.775,15.2,15.05,23.64
STORE_037,29000,644435,True,1.0,68.38,-8.51,0.778,14.7,15.19,23.98
STORE_038,29000,642208,True,1.0,68.24,-8.24,0.748,14.7,15.11,23.78
STORE_039,29000,644269,True,1.0,68.3,-8.44,0.804,14.7,15.17,24.14
STORE_040,29000,640392,True,0.99,68.56,-7.99,0.765,14.6,15.14,23.64
STORE_041,29000,642524,True,0.99,68.3,-8.38,0.751,14.4,15.13,23.63
STORE_042,29000,646852,True,1.0,68.23,-8.81,0.732,15.1,15.22,24.04
STORE_043,29000,640249,True,0.99,68.15,-8.17,0.784,14.9,15.05,23.56
STORE_044,29000,644152,True,0.99,68.23,-8.59,0.745,14.8,15.15,23.78
STORE_045,29000,642973,True,0.99,68.12,-8.49,0.761,14.9,15.1,23.76
STORE_046,29000,641051,True,1.0,68.37,-8.15,0.752,14.8,15.11,23.8
STORE_047,29000,643297,True,0.99,68.25,-8.47,0.753,14.9,15.14,23.75
STORE_048,29000,641175,True,0.99,68.37,-8.01,0.761,14.8,15.12,23.81
STORE_049,29000,642191,True,1.0,68.04,-8.51,0.742,14.7,15.07,23.87
