date,total_records,anomaly_count
2023-01-08,10000,1303.0
2023-01-09,10000,1413.0
2023-01-10,10000,1540.0
2023-01-11,10000,1563.0
2023-01-12,10000,1514.0
2023-01-13,10000,1340.0
2023-01-14,10000,1293.0
2023-01-15,10000,1316.0
2023-01-16,10000,1477.0
2023-01-17,10000,1603.0
2023-01-18,10000,1541.0
2023-01-19,10000,1503.0
2023-01-20,10000,1364.0
2023-01-21,10000,1345.0
2023-01-22,10000,1374.0
2023-01-23,10000,1472.0
2023-01-24,10000,1596.0
2023-01-25,10000,1682.0
2023-01-26,10000,1588.0
2023-01-27,10000,1467.0
2023-01-28,10000,1294.0
2023-01-29,10000,1422.0
2023-01-30,10000,1477.0
2023-01-31,10000,1667.0
2023-02-01,10000,1613.0
2023-02-02,10000,1607.0
2023-02-03,10000,1490.0
2023-02-04,10000,1404.0
2023-02-05,10000,1408.0
2023-02-06,10000,1581.0
2023-02-07,10000,1712.0
2023-02-08,10000,1708.0
2023-02-09,10000,1610.0
2023-02-10,10000,1511.0
2023-02-11,10000,1397.0
2023-02-12,10000,1429.0
2023-02-13,10000,1626.0
2023-02-14,10000,1727.0
2023-02-15,10000,1728.0
2023-02-16,10000,1705.0
2023-02-17,10000,1596.0
2023-02-18,10000,1493.0
2023-02-19,10000,1525.0
2023-02-20,10000,1679.0
2023-02-21,10000,1739.0
2023-02-22,10000,1773.0
2023-02-23,10000,1706.0
2023-02-24,10000,1594.0
2023-02-25,10000,1588.0
2023-02-26,10000,1561.0
2023-02-27,10000,1644.0
2023-02-28,10000,1845.0
2023-03-01,10000,1852.0
2023-03-02,10000,1748.0
2023-03-03,10000,1678.0
2023-03-04,10000,1588.0
2023-03-05,10000,1571.0
2023-03-06,10000,1652.0
2023-03-07,10000,1753.0
2023-03-08,10000,1881.0
2023-03-09,10000,1782.0
2023-03-10,10000,1663.0
2023-03-11,10000,1599.0
2023-03-12,10000,1623.0
2023-03-13,10000,1729.0
2023-03-14,10000,1819.0
2023-03-15,10000,1859.0
2023-03-16,10000,1798.0
2023-03-17,10000,1697.0
2023-03-18,10000,1610.0
2023-03-19,10000,1580.0
2023-03-20,10000,1762.0
2023-03-21,10000,1925.0
2023-03-22,10000,1927.0
2023-03-23,10000,1768.0
2023-03-24,10000,1718.0
2023-03-25,10000,1641.0
2023-03-26,10000,1612.0
2023-03-27,10000,1754.0
2023-03-28,10000,1866.0
2023-03-29,10000,1906.0
2023-03-30,10000,1768.0
2023-03-31,10000,1685.0
2023-04-01,10000,1640.0
2023-04-02,10000,1610.0
2023-04-03,10000,1757.0
2023-04-04,10000,1836.0
2023-04-05,10000,1872.0
2023-04-06,10000,1804.0
2023-04-07,10000,1696.0
2023-04-08,10000,1702.0
2023-04-09,10000,1684.0
2023-04-10,10000,1717.0
2023-04-11,10000,1842.0
2023-04-12,10000,1884.0
2023-04-13,10000,1782.0
2023-04-14,10000,1741.0
2023-04-15,10000,1601.0
2023-04-16,10000,1672.0
2023-04-17,10000,1776.0
2023-04-18,10000,1825.0
2023-04-19,10000,1949.0
2023-04-20,10000,1850.0
2023-04-21,10000,1672.0
2023-04-22,10000,1624.0
2023-04-23,10000,1628.0
2023-04-24,10000,1719.0
2023-04-25,10000,1802.0
2023-04-26,10000,1865.0
2023-04-27,10000,1794.0
2023-04-28,10000,1643.0
2023-04-29,10000,1604.0
2023-04-30,10000,1594.0
2023-05-01,10000,1716.0
2023-05-02,10000,1834.0
2023-05-03,10000,1834.0
2023-05-04,10000,1736.0
2023-05-05,10000,1689.0
2023-05-06,10000,1600.0
2023-05-07,10000,1577.0
2023-05-08,10000,1706.0
2023-05-09,10000,1883.0
2023-05-10,10000,1817.0
2023-05-11,10000,1697.0
2023-05-12,10000,1595.0
2023-05-13,10000,1543.0
2023-05-14,10000,1568.0
2023-05-15,10000,1639.0
2023-05-16,10000,1707.0
2023-05-17,10000,1744.0
2023-05-18,10000,1732.0
2023-05-19,10000,1624.0
2023-05-20,10000,1540.0
2023-05-21,10000,1581.0
2023-05-22,10000,1623.0
2023-05-23,10000,1717.0
2023-05-24,10000,1764.0
2023-05-25,10000,1671.0
2023-05-26,10000,1520.0
2023-05-27,10000,1473.0
2023-05-28,10000,1527.0
2023-05-29,10000,1545.0
2023-05-30,10000,1735.0
2023-05-31,10000,1734.0
2023-06-01,10000,1624.0
2023-06-02,10000,1568.0
2023-06-03,10000,1416.0
2023-06-04,10000,1463.0
2023-06-05,10000,1524.0
2023-06-06,10000,1711.0
2023-06-07,10000,1640.0
2023-06-08,10000,1575.0
2023-06-09,10000,1402.0
2023-06-10,10000,1389.0
2023-06-11,10000,1388.0
2023-06-12,10000,1505.0
2023-06-13,10000,1618.0
2023-06-14,10000,1659.0
2023-06-15,10000,1575.0
2023-06-16,10000,1472.0
2023-06-17,10000,1349.0
2023-06-18,10000,1343.0
2023-06-19,10000,1400.0
2023-06-20,10000,1558.0
2023-06-21,10000,1609.0
2023-06-22,10000,1493.0
2023-06-23,10000,1386.0
2023-06-24,10000,1278.0
2023-06-25,10000,1271.0
2023-06-26,10000,1449.0
2023-06-27,10000,1565.0
2023-06-28,10000,1563.0
2023-06-29,10000,1474.0
2023-06-30,10000,1351.0
2023-07-01,10000,1290.0
2023-07-02,10000,1262.0
2023-07-03,10000,1388.0
2023-07-04,10000,1412.0
2023-07-05,10000,1500.0
2023-07-06,10000,1429.0
2023-07-07,10000,1233.0
2023-07-08,10000,1233.0
2023-07-09,10000,1222.0
2023-07-10,10000,1316.0
2023-07-11,10000,1436.0
2023-07-12,10000,1474.0
2023-07-13,10000,1362.0
2023-07-14,10000,1266.0
2023-07-15,10000,1231.0
2023-07-16,10000,1244.0
2023-07-17,10000,1325.0
2023-07-18,10000,1423.0
2023-07-19,10000,1401.0
2023-07-20,10000,1266.0
2023-07-21,10000,1259.0
2023-07-22,10000,1204.0
2023-07-23,10000,1187.0
2023-07-24,10000,1231.0
2023-07-25,10000,1307.0
2023-07-26,10000,1369.0
2023-07-27,10000,1289.0
2023-07-28,10000,1167.0
2023-07-29,10000,1167.0
2023-07-30,10000,1159.0
2023-07-31,10000,1251.0
2023-08-01,10000,1337.0
2023-08-02,10000,1429.0
2023-08-03,10000,1263.0
2023-08-04,10000,1158.0
2023-08-05,10000,1117.0
2023-08-06,10000,1081.0
2023-08-07,10000,1277.0
2023-08-08,10000,1322.0
2023-08-09,10000,1375.0
2023-08-10,10000,1333.0
2023-08-11,10000,1108.0
2023-08-12,10000,1092.0
2023-08-13,10000,1150.0
2023-08-14,10000,1196.0
2023-08-15,10000,1323.0
2023-08-16,10000,1337.0
2023-08-17,10000,1201.0
2023-08-18,10000,1135.0
2023-08-19,10000,1126.0
2023-08-20,10000,1083.0
2023-08-21,10000,1236.0
2023-08-22,10000,1230.0
2023-08-23,10000,1269.0
2023-08-24,10000,1170.0
2023-08-25,10000,1166.0
2023-08-26,10000,1126.0
